,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
81,1200,2110421394,65,1,Kolonaki - Lykavittos (Athens - Center)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,200 € /month     6 to 12 month lease: 1,260 € /month   2 to 6 month lease: 1,400 € /month ...                        ",18.46153846
82,350,2110451120,55,1,Mouseio (Athens), 24/12/2020 -  ,6.363636364
83,550,2110530474,115,2,Poligono (Athens), 24/12/2020 -  ,4.782608696
84,1250,2110486340,120,3,Varnava (Athens), 24/12/2020 -  ,10.41666667
85,790,2110522802,65,2,Ampelokipoi - Pentagon (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 790 € /month     6 to 12 month lease: 820 € /month   2 to 6 month lease: 850 € /month     1 ...                        ,12.15384615
86,1500,2110552600,98,2,Rigilis (Kolonaki - Lykavittos)," 24/12/2020 - PRESIDENTIAL PALACE - ΙΝ Α  HIGH PROFILE BUILDING. A very sunny, 4th floor 98m² penthouse period apartment with wide open views of Mount Lycabettus ...                        ",15.30612245
87,1600,2110439824,190,0,Psirri (Athens), 24/12/2020 - AΤΗΕΝS - PSIRI. In a central location a renovated corner fifth-floor 190 m²  loft apartment with Acropolis views. Large very sunny living space wit ...                        ,8.421052632
88,13500,219298636,470,3,Rigilis (Kolonaki - Lykavittos), 24/12/2020 - PRESIDENTIAL PALACE - HERODOU ATTIKOU ST.   Located in one of Athens’ most prestigious  buildings with a grand lobby a 470m²  2nd-floor apartment.  ...                        ,28.72340426
89,520,219416914,95,3,Neapoli Exarcheion (Athens), 24/12/2020 -  ,5.473684211
90,600,2110549402,90,2,Ampelokipoi - Pentagon (Athens)," 24/12/2020 - For Rent Apartment, Athens, Ampelokipoi, 90 sq.m., 1 Levels, 2nd Floor, 2 Bedrooms, (1 Master), 1 Bathrooms, 1 Κitchen/s, Dours: Aluminum, Building ...                        ",6.666666667
91,720,2110549530,97,2,Ampelokipoi - Pentagon (Athens)," 24/12/2020 - For Rent Apartment, Athens, Ampelokipoi, 97 sq.m., 1 Levels, 5th Floor, 2 Bedrooms, 1 Bathrooms, 1 Κitchen/s, Floors: Wooden floors, Dours: Aluminu ...                        ",7.422680412
92,800,2110556490,110,3,Ampelokipoi - Pentagon (Athens)," 24/12/2020 - Athens, Ampelokipoi, Apartment For Rent, 110 sq.m., Property Status: Amazing, Floor: 3rd, 1 Level(s), 3 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, ...                        ",7.272727273
93,540,2110337658,75,2,Pagkrati Center (Athens), 24/12/2020 -  ,7.2
94,250,2110533247,30,1,Exarcheia (Athens), 24/12/2020 -  ,8.333333333
95,1550,2110521190,165,4,Kolonaki (Kolonaki - Lykavittos), 24/12/2020 -  ,9.393939394
96,600,2110409570,68,2,Likavittos (Kolonaki - Lykavittos), 24/12/2020 -  ,8.823529412
97,1000,2110319061,78,1,Kolonaki (Kolonaki - Lykavittos), 24/12/2020 -  ,12.82051282
98,600,2110466523,73,2,Kipriadou - Ano Patisia (Athens)," 24/12/2020 - In one of the most privileged places in Ano Patisia, a first floor apartment is for rent. The house is completely renovated with plumbing, electric ...                        ",8.219178082
99,1600,2110358100,160,3,Akadimia (Athens), 24/12/2020 -  ,10
100,380,2110568762,46,1,Neapoli Exarcheion (Athens), 24/12/2020 -  ,8.260869565
101,450,2110490962,70,2,Kipseli (Athens)," 24/12/2020 - Kipseli, renovated apartment for rent 70 sq.m., 2nd floor, front facing, consist of  hall, living room – kitchen, two bedrooms, bathroom, balconies ...                        ",6.428571429
102,650,2110525798,92,2,Neos Kosmos (Athens)," 24/12/2020 - Neos Kosmos apartment for rent Neos Kosmos apartment for rent, full-floor apartment 92 sq.m., 4th floor, cornered, 2 bd, construction '70, bathroom ...                        ",7.065217391
103,500,2110547071,65,1,Patisia (Athens), 24/12/2020 -  ,7.692307692
104,950,2110399382,100,2,Pagkrati (Athens)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 950 € /month     6 to 12 month lease: 1,000 € /month   2 to 6 month lease: 1,050 € /month   ...                        ",9.5
105,1070,2110483631,90,2,Filopapou (Athens)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,070 € /month     6 to 12 month lease: 1,130 € /month   2 to 6 month lease: 1,250 € /month ...                        ",11.88888889
106,1150,2110512011,70,2,Koukaki - Makrygianni (Athens - Center)," 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 1,150 € /month     6 to 12 month lease: 1,220 € /month   2 to 6 month lease: 1,350 € /month ...                        ",16.42857143
107,650,2110495924,70,2,Pagkrati (Athens), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 650 € /month     6 to 12 month lease: 680 € /month   2 to 6 month lease: 700 € /month     1 ...                        ,9.285714286
108,790,2110477143,50,1,Koukaki - Makrygianni (Athens - Center), 24/12/2020 - *Price varies by duration of stay:     12+ month lease: 790 € /month     6 to 12 month lease: 840 € /month   2 to 6 month lease: 980 € /month     1 ...                        ,15.8
109,750,2110292800,97,3,Koukaki - Makrygianni (Athens - Center)," 24/12/2020 - KOUKAKI-MAKRUGIANNI, Apartment, 97 sq.m, year built 1975, renovated in 2020, 3 rooms, 3rd,  Various Characteristics: aluminium frames, balcony, bat ...                        ",7.731958763
